name,affiliation,homepage,scholarid
Peter Kuppens,University of Leuven,,NOSCHOLARPAGE
Peter McMahan,University of Chicago,,NOSCHOLARPAGE
Peter Miltner,FU Berlin,,NOSCHOLARPAGE
Peter Monge,University of Southern California,,NOSCHOLARPAGE
Peter Mühlau,Trinity College Dublin,,NOSCHOLARPAGE
Peter P. Groenewegen,NIVEL: Netherlands Institute for Health Services Research,,NOSCHOLARPAGE
Peter Pal Zubcsek,University of Florida,,NOSCHOLARPAGE
Péter Soltész,Catholic University,,NOSCHOLARPAGE
Peter Tolmie,University of Siegen,,NOSCHOLARPAGE
Peter Totterdell,University of Sheffield,,NOSCHOLARPAGE
Peter V. Marsden,Harvard University,,NOSCHOLARPAGE
Peter W. Cardon,University of Southern California,,NOSCHOLARPAGE
Peter W. Eklund,Deakin University,,NOSCHOLARPAGE
Peter W. F. Smith,University of Southampton,,NOSCHOLARPAGE
Peter Willett 0001,University of Connecticut,,NOSCHOLARPAGE
Peter van der Laan,Netherlands Institute for the Study of Crime and Law enforcement (NSCR),,NOSCHOLARPAGE
Petr Matous,University of Sydney,,NOSCHOLARPAGE
Petri Parvinen,Aalto University,,NOSCHOLARPAGE
Petros A. Ioannou,University of Southern California,,NOSCHOLARPAGE
Petter Holme,Tokyo Institute of Technology,,NOSCHOLARPAGE
Philip A. Sinclair,Manchester Metropolitan University,,NOSCHOLARPAGE
Philip Andrew Sinclair,Manchester Metropolitan University,,NOSCHOLARPAGE
Philip Branch,Swinburne University of Technology,,NOSCHOLARPAGE
Philip D. Waggoner,Columbia University,,NOSCHOLARPAGE
Philip Mohr,CSIRO,,NOSCHOLARPAGE
Philip S. Yu,University of Illinois at Chicago,,NOSCHOLARPAGE
Philipp Singer,Graz University of Technology,,NOSCHOLARPAGE
Philippa E. Pattison,University of Melbourne,,NOSCHOLARPAGE
Philippa Pattison,University of Sydney,,NOSCHOLARPAGE
Philippe Cudré-Mauroux,University of Fribourg,,NOSCHOLARPAGE
Philippe Ramirez,CNRS,,NOSCHOLARPAGE
Phillip Bonacich,University of California - Los Angeles,,NOSCHOLARPAGE
Phillip Schumm,University of Chicago,,NOSCHOLARPAGE
Piao Chen,Institute of High Performance Computing,,NOSCHOLARPAGE
Pierre Mongeau,University of Quebec in Montreal,,NOSCHOLARPAGE
Pieter-Paul Verhaeghe,Ghent University,,NOSCHOLARPAGE
Pietro Panzarasa,Queen Mary University of London,,NOSCHOLARPAGE
Pinaki Mitra,IIT Guwahati,,NOSCHOLARPAGE
Ping Deng,Southwest Jiaotong University,,NOSCHOLARPAGE
Ping-En Lu,National Tsing Hua University,,NOSCHOLARPAGE
PingSun Leung,University of Hawaii at Manoa,,NOSCHOLARPAGE
Pip Pattison,University of Melbourne,,NOSCHOLARPAGE
Po Yang 0001,Liverpool John Moores University,,NOSCHOLARPAGE
Poonam Goyal,BITS Pilani,,NOSCHOLARPAGE
Poonam Yadav,University of Cambridge,,NOSCHOLARPAGE
Poong Oh,University of Pennsylvania,,NOSCHOLARPAGE
Pouria Babvey,Stevens Institute of Technology,,NOSCHOLARPAGE
Prabhat Kumar,National Institute of Technology,,NOSCHOLARPAGE
Pradumn Kumar Pandey,IIT Roorkee,,NOSCHOLARPAGE
Pramod K. Varshney,Syracuse University,,NOSCHOLARPAGE
Pranjal Gupta,BITS Pilani,,NOSCHOLARPAGE
Prannay Khosla,IIT Kanpur,,NOSCHOLARPAGE
Prasenjit Mitra,Pennsylvania State University,,NOSCHOLARPAGE
Prasoon Gupta,National Institute of Technology,,NOSCHOLARPAGE
Prateek Agrawal,Lovely Professional University,,NOSCHOLARPAGE
Pratik Chattopadhyay,IIT (BHU) Varanasi,,NOSCHOLARPAGE
Prem Prakash Jayaraman,Swinburne University of Technology,,NOSCHOLARPAGE
Prerna Kaushik,BITS Pilani,,NOSCHOLARPAGE
Pritha Dev,Indian Institute of Management,,NOSCHOLARPAGE
Pushpak Bhattacharyya,IIT Patna,,NOSCHOLARPAGE
